manufacturer,model,month,trends_interest,trends_source,measured_at
Airstream,Airstream Conversion,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Motorhome,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2025-08,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2025-09,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2025-10,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2025-11,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2025-12,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-01,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-02,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-03,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-04,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-05,1.9722,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-06,1.2326,google_trends,2026-08-29T19:23:31Z
Airstream,Airstream Trailer,2026-07,1.5408,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105 Series Sedan,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Series Coupe,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 1,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-03,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-04,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-05,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-06,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 2,2026-07,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2025-08,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2025-09,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2025-10,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2025-11,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2025-12,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-01,0.0,google_trends,2026-08-29T19:23:31Z
Alfa Romeo,105/115 Spider Series 3,2026-02,0.0,google_trends,2026-08-29T19:23:31Z
